,p,d,q,P,D,Q,MAPE
0,1,1,1,1,1,1,33.449183801209344
1,0,0,0,0,0,0,37.681092476316245
2,0,0,0,0,0,1,25.88278447439118
3,0,0,0,0,1,0,20.93901973933493
4,0,0,0,0,1,1,26.504758526215227
5,0,0,0,1,0,0,21.479297379594232
6,0,0,0,1,0,1,23.6625989421396
7,0,0,0,1,1,0,35.5177926793841
8,0,0,0,1,1,1,34.862254918013605
9,0,0,1,0,0,0,40.01742654519938
10,0,0,1,0,0,1,28.62089281974861
11,0,0,1,0,1,0,22.124988914059674
12,0,0,1,0,1,1,26.787031653594063
13,0,0,1,1,0,0,23.621276226236176
14,0,0,1,1,0,1,24.746966807232386
15,0,0,1,1,1,0,35.014153278791234
16,0,0,1,1,1,1,36.89784800732824
17,0,1,0,0,0,0,128.04738489420416
18,0,1,0,0,0,1,139.84782495592808
19,0,1,0,0,1,0,53.43362711960744
20,0,1,0,0,1,1,34.927336609432146
21,0,1,0,1,0,0,87.63106103674622
22,0,1,0,1,0,1,54.60503293416507
23,0,1,0,1,1,0,32.98190013894454
24,0,1,0,1,1,1,31.897180828628585
25,0,1,1,0,0,0,53.99552120049809
26,0,1,1,0,0,1,69.70890647818625
27,0,1,1,0,1,0,19.431306761282432
28,0,1,1,0,1,1,26.399499561539614
29,0,1,1,1,0,0,26.39833988843478
30,0,1,1,1,0,1,26.146836498684017
31,0,1,1,1,1,0,34.67865507994119
32,0,1,1,1,1,1,34.252985524583266
33,1,0,0,0,0,0,41.34738842190065
34,1,0,0,0,0,1,29.815371215175862
35,1,0,0,0,1,0,22.41054571547704
36,1,0,0,0,1,1,26.917570762762445
37,1,0,0,1,0,0,24.1473527176144
38,1,0,0,1,0,1,23.818048086214976
39,1,0,0,1,1,0,34.9963721915428
40,1,0,0,1,1,1,36.84726494779007
41,1,0,1,0,0,0,42.300570419519005
42,1,0,1,0,0,1,30.97071949173979
43,1,0,1,0,1,0,22.437735085769074
44,1,0,1,0,1,1,27.032701212516443
45,1,0,1,1,0,0,19.638995492921964
46,1,0,1,1,0,1,23.777698080463182
47,1,0,1,1,1,0,35.01199196231597
48,1,0,1,1,1,1,34.08923364023477
49,1,1,0,0,0,0,124.28778613783234
50,1,1,0,0,0,1,115.48842651155991
51,1,1,0,0,1,0,35.100295539017004
52,1,1,0,0,1,1,33.4261115430462
53,1,1,0,1,0,0,75.25246866778984
54,1,1,0,1,0,1,51.32747630596184
55,1,1,0,1,1,0,33.606264248222196
56,1,1,0,1,1,1,35.297616570777926
57,1,1,1,0,0,0,58.35663906515223
58,1,1,1,0,0,1,44.015765636575324
59,1,1,1,0,1,0,21.17885007991237
60,1,1,1,0,1,1,26.954600439013348
61,1,1,1,1,0,0,30.74765667476404
62,1,1,1,1,0,1,28.21094156652699
63,1,1,1,1,1,0,32.924442517913086
64,1,1,1,1,1,1,32.91450822887551
